City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,15.41,59,100,6.51,AU,1714436585
1,kendari,-3.945,122.4989,23.86,97,100,1.09,ID,1714436585
2,port-aux-francais,-49.35,70.2167,3.98,85,68,20.8,TF,1714436585
3,afaahiti,-17.75,-149.2833,28.93,69,86,8.63,PF,1714436586
4,fale old settlement,-9.3852,-171.2468,29.67,73,64,4.79,TK,1714436586
5,quellon,-43.1167,-73.6167,6.43,85,100,3.99,CL,1714436586
6,anadyr,64.75,177.4833,1.28,69,75,5.0,RU,1714436586
7,nuuk,64.1835,-51.7216,1.34,100,100,18.01,GL,1714436475
8,arvayheer,46.2639,102.775,0.53,50,0,2.32,MN,1714436586
9,grytviken,-54.2811,-36.5092,2.24,97,74,6.48,GS,1714436586
10,okha,53.5739,142.9478,4.03,51,89,2.24,RU,1714436486
11,albany,42.6001,-73.9662,14.94,74,67,1.76,US,1714436310
12,bethanie,-26.4833,17.15,22.58,32,1,6.09,NA,1714436586
13,oliver,49.1831,-119.5524,13.95,21,100,1.03,CA,1714436586
14,invercargill,-46.4,168.35,13.9,81,100,3.58,NZ,1714436586
15,iqaluit,63.7506,-68.5145,-9.15,66,75,4.12,CA,1714436587
16,ust'-kut,56.7938,105.7672,4.69,93,100,4.02,RU,1714436587
17,ilulissat,69.2167,-51.1,1.01,93,100,0.0,GL,1714436587
18,zboriv,49.6648,25.141,10.51,74,0,5.36,UA,1714436587
19,sitka,57.0531,-135.33,11.94,58,75,6.69,US,1714436587
20,waitangi,-43.9535,-176.5597,15.46,79,100,3.58,NZ,1714436587
21,constantia,44.1833,28.65,14.38,78,100,10.32,RO,1714436587
22,sos'va,59.1766,61.8558,-0.53,74,48,2.24,RU,1714436587
23,thompson,55.7435,-97.8558,12.09,22,75,1.54,CA,1714436587
24,edinburgh of the seven seas,-37.0676,-12.3116,12.07,61,100,4.31,SH,1714436587
25,bredasdorp,-34.5322,20.0403,14.87,88,1,1.69,ZA,1714436587
26,nova vicosa,-17.8919,-39.3719,25.27,85,0,2.99,BR,1714436587
27,stavyshche,50.4,29.5333,9.31,78,3,2.41,UA,1714436588
28,brisas de zicatela,15.8369,-97.0419,29.29,74,20,3.09,MX,1714436588
29,challapata,-18.9,-66.7667,13.0,36,15,0.92,BO,1714436588
30,avarua,-21.2078,-159.775,28.03,65,20,8.75,CK,1714436588
31,kasongo,-4.45,26.6667,21.03,92,13,1.27,CD,1714436588
32,ulsteinvik,62.3432,5.8487,11.5,64,62,4.47,NO,1714436328
33,chibougamau,49.9168,-74.3659,4.79,42,75,2.57,CA,1714436588
34,puerto natales,-51.7236,-72.4875,1.92,90,99,1.35,CL,1714436588
35,whitehorse,60.7161,-135.0538,11.43,46,75,1.03,CA,1714436588
36,isafjordur,66.0755,-23.124,1.37,91,93,4.78,IS,1714436588
37,bethel,41.3712,-73.414,20.3,75,60,0.89,US,1714436588
38,adamstown,-25.066,-130.1015,23.55,77,5,6.44,PN,1714436588
39,yelizovo,53.1873,158.3805,6.08,33,0,10.0,RU,1714436588
40,lahoysk,54.2016,27.8503,9.0,74,96,3.82,BY,1714436589
41,crane,31.3974,-102.3501,29.93,10,0,2.85,US,1714436589
42,alice springs,-23.7,133.8833,17.75,27,1,3.09,AU,1714436589
43,coelho neto,-4.2567,-43.0128,25.13,89,82,1.18,BR,1714436351
44,mossel bay,-34.1831,22.146,13.96,83,0,1.53,ZA,1714436589
45,san patricio,28.017,-97.5169,28.42,71,66,5.82,US,1714436589
46,la passe,45.5549,-0.8967,13.13,82,99,1.63,FR,1714436589
47,tandil,-37.3217,-59.1332,13.71,76,49,4.63,AR,1714436407
48,yarmouth,41.7057,-70.2286,12.86,74,0,2.57,US,1714436428
49,santa elena de uairen,4.6167,-61.1333,22.41,79,100,2.05,VE,1714436536
50,popondetta,-8.7537,148.2534,24.19,100,100,1.56,PG,1714436589
51,port elizabeth,-33.918,25.5701,14.16,99,100,3.6,ZA,1714436434
52,hermanus,-34.4187,19.2345,14.89,58,1,2.54,ZA,1714436589
53,olonkinbyen,70.9221,-8.7187,-0.49,84,100,2.86,SJ,1714436589
54,blackmans bay,-43.0167,147.3167,12.07,70,95,2.68,AU,1714436590
55,badger,64.8,-147.5333,11.95,29,40,4.12,US,1714436590
56,sanctuary point,-35.1114,150.629,17.08,82,100,5.09,AU,1714436590
57,cumbal,0.9088,-77.7915,11.34,95,97,1.23,CO,1714436590
58,holualoa,19.6228,-155.9522,26.91,82,20,5.66,US,1714436590
59,kievka,50.2619,71.5514,11.29,82,100,4.98,KZ,1714436590
60,kupang,-10.1667,123.5833,30.32,84,75,3.09,ID,1714436539
61,kisangani,0.5167,25.2,24.03,81,53,1.04,CD,1714436449
62,vila franca do campo,37.7167,-25.4333,15.23,79,40,2.03,PT,1714436590
63,abingdon,51.6711,-1.2828,10.51,80,20,7.2,GB,1714436590
64,yellowknife,62.456,-114.3525,4.67,56,20,5.66,CA,1714436590
65,udachny,66.4167,112.4,-1.97,94,100,11.89,RU,1714436590
66,port mathurin,-19.6833,63.4167,26.24,75,25,7.78,MU,1714436591
67,bowen,-20.0167,148.2333,24.94,70,18,5.32,AU,1714436591
68,puerto ayora,-0.7393,-90.3518,25.31,95,76,0.89,EC,1714436591
69,kruisfontein,-34.0033,24.7314,15.58,76,0,2.74,ZA,1714436591
70,masallatah,32.6167,14.0,21.42,55,100,3.16,LY,1714436591
71,kerikeri,-35.2268,173.9474,18.69,64,21,2.76,NZ,1714436591
72,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,52,0,11.18,RU,1714436591
73,longyearbyen,78.2186,15.6401,0.91,69,75,5.66,SJ,1714436591
74,ha'il,27.5219,41.6907,17.01,77,0,0.0,SA,1714436591
75,ambon,-3.6954,128.1814,30.49,95,40,1.54,ID,1714436591
76,jamestown,42.097,-79.2353,23.8,49,0,4.63,US,1714436408
77,kodiak,57.79,-152.4072,11.73,50,0,2.57,US,1714436591
78,zaranj,30.9667,61.8833,13.98,17,0,5.74,AF,1714436591
79,ribeira grande,38.5167,-28.7,17.1,79,41,2.68,PT,1714436592
80,ushuaia,-54.8,-68.3,-0.19,80,0,2.06,AR,1714436472
81,abepura,-2.6333,140.5833,28.45,84,40,2.06,ID,1714436592
82,mukalla,14.5425,49.1242,27.55,68,24,2.19,YE,1714436592
83,ebaye,8.7748,167.7392,30.01,66,40,8.23,MH,1714436592
84,kristiansund,63.1115,7.732,8.36,81,100,3.09,NO,1714436592
85,fomboni,-12.28,43.7425,27.79,77,98,6.49,KM,1714436592
86,bogra,24.85,89.3667,24.92,74,6,3.09,BD,1714436592
87,acarau,-2.8856,-40.12,26.02,88,99,3.74,BR,1714436592
88,fort bragg,35.139,-79.006,25.91,46,0,2.06,US,1714436592
89,kolonia,50.9333,6.95,14.87,76,0,0.51,DE,1714436545
90,pathein,16.7833,94.7333,27.74,76,7,2.72,MM,1714436592
91,st. john's,47.5649,-52.7093,6.49,97,100,3.6,CA,1714436508
92,necochea,-38.5473,-58.7368,13.67,67,6,6.38,AR,1714436399
93,asaba,6.2006,6.7338,27.26,85,50,2.5,NG,1714436381
94,khandud,36.9513,72.318,0.19,91,96,1.02,AF,1714436593
95,lompoc,34.6391,-120.4579,24.32,64,0,11.83,US,1714436593
96,kiunga,-6.1219,141.2906,25.27,96,100,0.77,PG,1714436593
97,melekeok village,7.4957,134.6367,30.31,74,75,5.14,PW,1714436593
98,stanley,54.868,-1.6985,10.29,79,40,5.66,GB,1714436378
99,lata,40.1629,-8.3327,11.15,94,98,0.4,PT,1714436593
100,talnakh,69.4865,88.3972,-17.11,90,100,8.08,RU,1714436535
101,patterson,37.4716,-121.1297,25.97,33,0,6.31,US,1714436593
102,tiksi,71.6872,128.8694,-14.01,96,100,2.59,RU,1714436593
103,hawaiian paradise park,19.5933,-154.9731,26.73,75,75,5.14,US,1714436593
104,port lincoln,-34.7333,135.8667,14.37,61,100,8.19,AU,1714436593
105,nouadhibou,20.931,-17.0347,20.99,56,17,9.77,MR,1714436594
106,jirja,26.3383,31.8916,24.12,31,0,7.2,EG,1714436594
107,ust-nera,64.5667,143.2,-6.23,87,100,3.56,RU,1714436594
108,hobyo,5.3505,48.5268,29.18,78,63,3.63,SO,1714436594
109,vorgashor,67.5833,63.95,-4.55,95,100,8.33,RU,1714436484
110,road town,18.4167,-64.6167,27.05,74,75,5.66,VG,1714436594
111,sala,34.0389,-6.8166,11.38,93,40,2.06,MA,1714436371
112,sergeyevka,53.88,67.4158,5.11,57,100,5.4,KZ,1714436594
113,swan hill,-35.3378,143.5544,13.64,46,0,6.84,AU,1714436561
114,copala,16.65,-98.9833,27.62,65,46,2.22,MX,1714436594
115,saint-georges,12.0564,-61.7485,27.82,78,20,5.66,GD,1714436594
116,karratha,-20.7377,116.8463,27.94,31,75,6.43,AU,1714436594
117,jawf al maqbabah,13.8378,45.8349,23.11,63,16,1.65,YE,1714436594
118,mareeba,-17.0,145.4333,25.8,75,57,3.64,AU,1714436595
119,papatowai,-46.5619,169.4708,13.61,67,92,1.0,NZ,1714436595
120,beira,-19.8436,34.8389,20.05,88,20,2.57,MZ,1714436595
121,kourou,5.1552,-52.6478,28.03,93,100,2.63,GF,1714436595
122,kailua-kona,19.6406,-155.9956,28.98,82,20,5.66,US,1714436595
123,saint-philippe,-21.3585,55.7679,23.77,85,83,5.55,RE,1714436595
124,carnarvon,-24.8667,113.6333,24.78,58,62,3.16,AU,1714436595
125,puerto aysen,-45.4,-72.7,4.95,100,100,2.5,CL,1714436595
